,gene,x,y,counts
135,0610005C13Rik,0,79,1
136,Atp5a1,0,79,1
137,Bend5,0,81,1
138,Bcap31,0,82,1
139,Ccar1,0,83,1
140,Psenen,0,83,1
141,Nmrk1,0,83,1
142,Prkaa1,0,83,1
143,Hsp90b1,0,84,1
144,Zmynd11,0,84,1
145,Aggf1,0,84,1
146,Srp54a,0,84,1
147,Malat1,0,85,1
148,Adamts9,0,85,1
149,Akr1a1,0,85,1
150,Trpm7,0,86,1
151,Napsa,0,86,1
152,Pck1,0,87,1
153,Tle2,0,88,1
154,Malat1,0,89,2
155,Nol7,0,89,1
156,Hsph1,0,90,1
157,Tomm6,0,90,1
158,Malat1,0,92,1
159,Gm32063,0,92,1
160,Tardbp,0,93,1
161,Fam133b,0,93,1
162,Acot12,0,93,1
163,Zc3h15,0,93,1
164,Chchd10,0,93,1
165,2510017J16Rik,0,94,1
166,Malat1,0,95,1
167,Pnn,0,95,1
168,Cdk13,0,95,1
169,Utrn,0,97,1
170,Nolc1,0,97,1
171,Neat1,0,98,1
172,4930402H24Rik,0,98,1
173,Polr3d,0,98,1
174,Slc4a9,0,99,1
175,Hint3,0,99,1
176,Rdh16f2,1,1,1
177,Zbtb20,1,2,1
178,Ak2,1,2,1
179,Phldb2,1,4,1
180,Tsix,1,4,1
181,Nhsl2,1,4,1
182,Akap9,1,6,1
183,Slc6a18,1,6,1
184,Glg1,1,6,1
185,Malat1,1,8,1
186,Slc34a1,1,8,1
187,Bap1,1,8,1
188,Tsen2,1,8,1
189,Rbm6,1,10,1
190,Adgrg1,1,10,1
191,Gm20696,1,10,1
192,Snx27,1,15,1
193,Mycbp2,1,15,1
194,Arl2bp,1,15,1
195,Psen2,1,15,1
196,Nup98,1,15,1
197,Fam221b,1,16,1
198,Usp20,1,17,1
199,Scaper,1,17,1
200,Brd3,1,17,1
201,Gpr39,1,17,1
202,Calm2,1,18,1
203,Csnk1d,1,19,1
204,Ptpn12,1,19,1
205,Arf4,1,19,1
206,Glyr1,1,20,1
207,BC003965,1,20,1
208,Atp2b1,1,21,1
209,Zfp160,1,21,1
210,Ciz1,1,21,1
211,Hnrnpdl,1,22,1
212,Gtpbp4,1,22,1
213,Slc12a1,1,23,1
214,Dync2h1,1,23,1
215,Gls,1,23,1
216,Malat1,1,24,1
217,Ube2q2,1,24,1
218,Pigs,1,24,1
219,Hoxb9,1,24,1
220,Malat1,1,26,2
221,Ubr5,1,26,1
222,Fam234a,1,26,1
223,Usp37,1,27,1
224,Polr3f,1,27,1
225,Mccc2,1,27,1
226,Trim37,1,27,1
227,Eif2ak4,1,27,1
228,Malat1,1,29,1
229,Prpf4b,1,29,1
230,Katna1,1,29,1
231,Malat1,1,30,1
232,mt-Nd4,1,30,1
233,Emc9,1,31,1
234,Yme1l1,1,31,1
235,Zmat2,1,31,1
236,Wdr91,1,32,1
237,Pds5a,1,32,1
238,Slc6a15,1,33,1
239,Srsf11,1,34,1
240,Ap2a2,1,35,1
241,Hnrnpa2b1,1,35,1
242,Kif12,1,37,1
243,Osbpl8,1,37,1
244,Snrnp70,1,37,1
245,Sfpq,1,37,1
246,Nup88,1,37,1
247,Casc3,1,37,1
248,Neat1,1,38,1
249,Chpt1,1,38,1
250,Gapdh,1,38,1
251,Rdx,1,38,1
252,Dhdds,1,38,1
253,Myo9a,1,39,1
254,Nomo1,1,39,1
255,Upb1,1,40,1
256,Qser1,1,40,1
257,Rpl27,1,40,1
258,Lmo7,1,41,1
259,Slk,1,41,1
260,Hgd,1,41,1
261,Mecp2,1,41,1
262,Brd2,1,42,1
263,Sat1,1,45,1
264,Adgrg1,1,45,1
265,Malat1,1,46,1
266,Rps6kb1,1,46,1
267,Igf1r,1,46,1
268,Cisd1,1,47,1
269,Malat1,1,49,2
270,Crocc,1,49,1
271,Dcaf8,1,49,1
272,Tmem86b,1,49,1
273,Malat1,1,50,1
274,Gabarapl1,1,50,1
275,Chtop,1,50,1
276,Hinfp,1,50,1
277,Malat1,1,51,1
278,Sec63,1,51,1
279,Arvcf,1,51,1
280,Crebrf,1,54,1
281,Cnot3,1,55,1
282,Nisch,1,56,1
283,Slc47a1,1,57,1
284,Camk2d,1,57,1
285,Kansl1l,1,57,1
286,Malat1,1,58,1
287,Rock2,1,58,1
288,Xist,1,58,1
289,Opa3,1,58,1
290,Cc2d2a,1,59,1
291,Phldb2,1,61,1
292,Folr2,1,61,1
293,Lrif1,1,61,1
294,Malat1,1,62,1
295,Csnk1a1,1,62,1
296,Atp5l,1,62,1
297,Ubac2,1,62,1
298,Bola1,1,62,1
299,Malat1,1,63,1
300,Usp34,1,63,1
301,Sfxn1,1,64,1
302,Malat1,1,65,1
303,Ppip5k1,1,65,1
304,Mdm4,1,66,1
305,Birc6,1,67,1
306,Elmo2,1,67,1
307,Txnip,1,68,1
308,0610010K14Rik,1,68,1
309,Lypla1,1,70,1
310,Lactb,1,70,1
311,Cstf3,1,71,1
312,Cyb5b,1,71,1
313,Dicer1,1,72,1
314,Cyb5r4,1,72,1
315,Gramd1b,1,75,1
316,Supt16,1,75,1
317,Gm44790,1,77,1
318,Srsf5,1,78,1
319,Ncoa1,1,78,1
320,Socs2,1,78,1
321,Mdn1,1,78,1
322,Gpi1,1,78,1
323,Smpx,1,78,1
324,Mfsd1,1,79,1
325,Timm9,1,79,1
326,Senp3,1,79,1
327,Mycbp2,1,80,1
328,Cela1,1,82,1
329,Calml4,1,82,1
330,Tubb2a,1,82,1
331,Ivns1abp,1,83,1
332,Syne2,1,83,1
333,Fam193b,1,83,1
334,Malat1,1,84,1
335,Psmc1,1,84,1
336,Urod,1,85,1
337,Zmym4,1,87,1
338,Ubb,1,87,1
339,Gm45799,1,87,1
340,Kcnq1ot1,1,89,1
341,Hnrnpu,1,89,1
342,Arglu1,1,89,1
343,Ybey,1,90,1
344,Thoc2,1,91,1
345,Stx17,1,91,1
346,Rab14,1,91,1
347,Glb1l,1,92,1
348,Elf1,1,92,1
349,Ppp1r12a,1,92,1
350,Ighmbp2,1,92,1
351,Hnrnpul2,1,94,1
352,Tarbp2,1,94,1
353,Malat1,1,95,1
354,Psme4,1,95,1
355,Clu,1,95,1
356,Emx2,1,96,1
357,Fam133b,1,97,1
358,Malat1,1,98,2
359,Ccnl2,1,98,1
360,Ktn1,1,98,1
361,Malat1,1,99,1
362,Thoc2,1,99,1
363,Kpna4,1,99,1
364,Ankhd1,2,0,1
365,Rrbp1,2,0,1
366,Mxd1,2,0,1
367,Bod1l,2,1,1
368,Usp15,2,1,1
369,Sart1,2,1,1
370,Dusp3,2,2,1
371,Malat1,2,4,1
372,Ak2,2,4,1
373,Smc3,2,4,1
374,Abcd3,2,5,1
375,Tlk1,2,5,1
376,Actn4,2,5,1
377,Gm20708,2,6,1
378,Vps13a,2,7,1
379,Col4a3,2,7,1
380,Lmln,2,7,1
381,Pum1,2,8,1
382,Htatsf1,2,8,1
383,Rhobtb1,2,8,1
384,Ass1,2,8,1
385,Cenpj,2,8,1
386,Kmt2d,2,12,1
387,Cd151,2,12,1
388,Smarcc1,2,13,1
389,Ap1g1,2,14,1
390,Nfe2l1,2,14,1
391,Fam160b2,2,15,1
392,Klhdc4,2,17,1
393,Kat6a,2,19,1
394,Fermt1,2,19,1
395,Malat1,2,21,2
396,Ddx5,2,24,1
397,Sf3a3,2,24,1
398,Usp45,2,25,1
399,Mprip,2,26,1
400,Cers4,2,26,1
401,Gpatch11,2,26,1
402,Snx6,2,26,1
403,Pcnt,2,26,1
404,Ddx5,2,27,1
405,Srek1,2,27,1
406,Stag2,2,27,1
407,Krtcap3,2,27,1
408,Atp6ap2,2,27,1
409,Malat1,2,28,1
410,U2surp,2,28,1
411,Golga4,2,28,1
412,Zfp568,2,28,1
413,Baiap3,2,28,1
414,Epn3,2,30,1
415,Qrsl1,2,30,1
416,Gm43055,2,31,1
417,Malat1,2,32,2
418,Mettl5,2,32,1
419,Tln2,2,33,1
420,Mapk8ip3,2,34,1
421,Malat1,2,35,1
422,Slc34a1,2,35,1
423,Malat1,2,36,1
424,Miox,2,36,1
425,Pkhd1,2,41,1
426,Ino80d,2,41,1
427,Wbp1l,2,41,1
428,Ddx17,2,43,1
429,Id2,2,44,1
430,Ift140,2,44,1
431,Cltc,2,45,1
432,Slc17a3,2,46,1
433,Casc3,2,46,1
434,Malat1,2,47,1
435,Trip12,2,47,1
436,Satb2,2,47,1
437,Malat1,2,48,1
438,Malat1,2,50,2
439,Acly,2,50,1
440,Rpl23a,2,50,1
441,Malat1,2,51,1
442,Fubp1,2,51,1
443,Phf10,2,51,1
444,Malat1,2,52,1
445,Slc34a1,2,52,1
446,Top3b,2,52,1
447,Lgals4,2,53,1
448,Mettl7a2,2,53,1
449,Nsd1,2,53,1
450,Ddx17,2,53,1
451,Atp5j2,2,53,1
452,Hnrnpll,2,53,1
453,Leng9,2,53,1
454,Suds3,2,54,1
455,Mlxipl,2,56,1
456,Xist,2,56,1
457,Malat1,2,57,1
458,Fnbp4,2,58,1
459,Nagk,2,59,1
460,Malat1,2,61,1
461,Kdm2a,2,61,1
462,4833439L19Rik,2,61,1
463,Aqp2,2,62,1
464,Supt20,2,62,1
465,Gripap1,2,62,1
466,Slc39a10,2,62,1
467,Rnf20,2,62,1
468,Malat1,2,63,1
469,Dst,2,63,1
470,Luc7l3,2,63,1
471,Ube3a,2,63,1
472,Hnrnpu,2,63,1
473,Map4k3,2,63,1
474,Bod1l,2,63,1
475,Rabep1,2,65,1
476,Sfxn2,2,65,1
477,Lmo7,2,66,1
478,Setd2,2,66,1
479,Actn4,2,66,1
480,Bcar1,2,66,1
481,Malat1,2,67,1
482,Nfyc,2,67,1
483,Foxj3,2,68,1
484,Slc6a13,2,68,1
485,Ptp4a2,2,68,1
486,Tatdn2,2,69,1
487,Terf2ip,2,69,1
488,Syne2,2,70,1
489,Ddx58,2,70,1
490,Hexim1,2,72,1
491,Srcap,2,73,1
492,Senp6,2,73,1
493,Htt,2,73,1
494,Smc6,2,73,1
495,Slc6a6,2,74,1
496,Ppp4r3b,2,74,1
497,Mlxipl,2,75,1
498,Ankrd44,2,75,1
499,Mettl7a2,2,76,1
500,Ddb1,2,76,1
501,Fam13b,2,76,1
502,Malat1,2,77,1
503,Mettl7a2,2,77,1
504,Slc17a3,2,77,1
505,Capzb,2,77,1
506,Errfi1,2,77,1
507,Ccnt2,2,79,1
508,Dst,2,79,1
509,Tnk1,2,79,1
510,Ezh1,2,79,1
511,Son,2,80,1
512,Fth1,2,80,1
513,Vps13c,2,80,1
514,Emc2,2,80,1
515,Oard1,2,80,1
516,Fnbp1l,2,82,1
517,Nucks1,2,82,1
518,Pola1,2,82,1
519,Rundc3b,2,82,1
520,Ppp2r2d,2,84,1
521,Them4,2,85,1
522,Tada2a,2,85,1
523,Stk38,2,86,1
524,Malat1,2,87,1
525,Pcyt2,2,87,1
526,Pecr,2,87,1
527,Aldh8a1,2,87,1
528,Gramd1b,2,88,1
529,Tmcc3,2,89,1
530,Ubr5,2,90,1
531,Prlr,2,90,1
532,Sik3,2,90,1
533,Rbmx,2,91,1
534,Malat1,2,92,1
535,Chka,2,92,1
536,Slc6a18,2,92,1
537,Malat1,2,94,1
538,Kcnk5,2,94,1
539,Prkcd,2,94,1
540,Ncoa7,2,95,1
541,Itgb6,2,95,1
542,Nt5c2,2,95,1
543,Nipbl,2,98,1
544,Tmem87a,2,99,1
545,Malat1,3,1,1
546,Dcaf8,3,1,1
547,Snrk,3,1,1
548,Ankrd13a,3,2,1
549,Vps13a,3,3,1
550,Chd3,3,3,1
551,Cnot2,3,3,1
552,Phf20,3,4,1
553,Hk1,3,4,1
554,Celsr2,3,5,1
555,Usp19,3,7,1
556,Tmem8,3,7,1
557,Tcte2,3,7,1
558,St8sia1,3,7,1
559,Acss2,3,8,1
560,4833420G17Rik,3,8,1
561,Eif4g2,3,8,1
562,Rfx7,3,8,1
563,Malat1,3,9,1
564,Mau2,3,9,1
565,Malat1,3,10,1
566,Prob1,3,10,1
567,Nrg1,3,10,1
568,Malat1,3,11,1
569,Ercc5,3,11,1
570,Wnk1,3,14,1
571,Malat1,3,16,1
572,Fus,3,16,1
573,Col4a5,3,16,1
574,Ptpn4,3,17,1
575,Slc26a4,3,18,1
576,Mrpl21,3,18,1
577,Cnksr1,3,19,1
578,Bcl7a,3,20,1
579,Depdc7,3,20,1
580,Tubgcp3,3,21,1
581,Ascc3,3,21,1
582,4932438A13Rik,3,23,1
583,Ssbp1,3,23,1
584,Cyp4a14,3,23,1
585,3110040N11Rik,3,23,1
586,Sap130,3,25,1
587,Malat1,3,26,1
588,Tead1,3,26,1
589,Abca7,3,26,1
590,Ralgapa2,3,26,1
591,Pnisr,3,28,1
592,Evi5,3,28,1
593,Ubr5,3,29,1
594,Malat1,3,31,1
595,Ccdc47,3,31,1
596,Abcf1,3,31,1
597,Malat1,3,32,1
598,Fnbp4,3,32,1
599,Arfgef2,3,32,1
600,Syne2,3,33,1
601,Tmem69,3,33,1
602,Malat1,3,34,1
603,Tgs1,3,34,1
604,Dnajc1,3,34,1
605,2310022A10Rik,3,35,1
606,Madd,3,37,1
607,Xkr6,3,37,1
608,Pdzk1ip1,3,38,1
609,Dnaja1,3,39,1
610,Utrn,3,40,1
611,Malat1,3,41,2
612,Slc23a1,3,41,1
613,Mtmr11,3,42,1
614,Malat1,3,43,1
615,Tpr,3,43,1
616,Slc17a9,3,43,1
617,Pnisr,3,44,1
618,Mkln1,3,44,1
619,Ccdc88c,3,44,1
620,Taf1d,3,45,1
621,Gigyf2,3,46,1
622,Eea1,3,46,1
623,Plekha5,3,46,1
624,Malat1,3,47,2
625,Gpx3,3,47,1
626,Nmt1,3,47,1
627,Malat1,3,48,2
628,Xbp1,3,48,1
629,Tysnd1,3,48,1
630,Arhgap33,3,48,1
631,Malat1,3,50,1
632,Tapbp,3,50,1
633,Malat1,3,51,2
634,Zcchc9,3,51,1
635,Malat1,3,52,1
636,Bcl7a,3,52,1
637,Nprl3,3,52,1
638,Id2,3,53,1
639,Arhgap42,3,53,1
640,Plxnb2,3,55,1
641,Snhg11,3,56,1
642,Tardbp,3,56,1
643,Kifc3,3,56,1
644,Gm4450,3,57,1
645,Malat1,3,58,2
646,Trim7,3,58,1
647,Pdhb,3,59,1
648,Zmym6,3,59,1
649,Serbp1,3,60,1
650,Mtmr4,3,60,1
651,Cep57l1,3,60,1
652,Magi3,3,60,1
653,Alg5,3,60,1
654,Malat1,3,61,1
655,Ndufa9,3,61,1
656,Thap3,3,62,1
657,Gcnt1,3,62,1
658,Slc4a2,3,62,1
659,Malat1,3,63,1
660,Snx29,3,63,1
661,Rif1,3,63,1
662,Nabp1,3,63,1
663,Slc26a1,3,63,1
664,Malat1,3,65,1
665,Slc6a18,3,65,1
666,Psma4,3,65,1
667,Aebp2,3,65,1
668,Asb13,3,66,1
669,Rab14,3,66,1
670,Tns1,3,67,1
671,Csad,3,67,1
672,Plcb1,3,67,1
673,Epb41l5,3,67,1
674,Rpl37,3,67,1
675,Dync2h1,3,70,1
676,Sf3b3,3,72,1
677,Nceh1,3,73,1
678,Dhx57,3,73,1
679,Ubr5,3,78,1
680,Prpf4b,3,78,1
681,Acy1,3,78,1
682,Aldh4a1,3,78,1
683,Ehmt1,3,78,1
684,Ddx5,3,81,1
685,Ankrd12,3,81,1
686,2810004N23Rik,3,83,1
687,Synj2bp,3,83,1
688,Epb41l2,3,84,1
689,Stub1,3,84,1
690,Nfe2l2,3,84,1
691,Arid4b,3,87,1
692,Smarca5,3,87,1
693,Celf1,3,87,1
694,Thoc2,3,88,1
695,Malat1,3,90,1
696,Hgsnat,3,90,1
697,Malat1,3,91,2
698,Glt1d1,3,91,1
699,Tardbp,3,94,1
700,Myo5a,3,94,1
701,Cep290,3,94,1
702,Egln2,3,94,1
703,Malat1,3,95,1
704,Slc34a1,3,95,1
705,Xist,3,95,1
706,Ndst2,3,95,1
707,Ifi27,3,96,1
708,Gm26992,3,97,1
709,Snhg12,3,98,1
710,Rogdi,3,99,1
711,Slc25a3,3,99,1
712,Itsn1,3,99,1
713,Ano6,4,0,1
714,Nup85,4,0,1
715,Katna1,4,0,1
716,Itga1,4,1,1
717,Pcyt2,4,1,1
718,Cyp4a31,4,1,1
719,Zranb1,4,2,1
720,Aldh3a2,4,2,1
721,Folr1,4,4,1
722,Malat1,4,5,1
723,Cct3,4,5,1
724,Malat1,4,7,1
725,Dzip1l,4,8,1
726,Nop56,4,9,1
727,Slc22a1,4,9,1
728,Gm26965,4,9,1
729,Prrc2c,4,10,1
730,Gas6,4,10,1
731,Arhgap10,4,10,1
732,Prrc2c,4,11,1
733,Haus7,4,11,1
734,Malat1,4,12,1
735,Abtb1,4,12,1
736,Phf12,4,13,1
737,Mindy1,4,13,1
738,Dmd,4,13,1
739,Malat1,4,14,1
740,Usp24,4,14,1
741,Map3k1,4,14,1
742,Atp6v0a4,4,16,1
743,Malat1,4,17,1
744,Zfp287,4,17,1
745,Ddx46,4,18,1
746,Arf3,4,18,1
747,Mea1,4,18,1
748,Nkiras1,4,21,1
749,Ddx1,4,21,1
750,Elmo3,4,21,1
751,Mtm1,4,22,1
752,Cnot9,4,22,1
753,Malat1,4,25,1
754,Thoc2,4,25,1
755,Suco,4,25,1
756,Malat1,4,26,1
757,Itpr2,4,26,1
758,Zeb1,4,27,1
759,Malat1,4,30,1
760,Malat1,4,32,1
761,Rbm26,4,33,1
762,Dock8,4,33,1
763,Ufsp2,4,34,1
764,Anapc4,4,37,1
765,Snx21,4,38,1
766,Malat1,4,39,1
767,Ap2a2,4,40,1
768,Atp5a1,4,40,1
769,Clec16a,4,40,1
770,Son,4,41,1
771,Malat1,4,41,1
772,Tpp2,4,41,1
773,Glg1,4,41,1
774,Prox1,4,41,1
775,Kat6b,4,43,1
776,Malat1,4,44,2
777,Hmgcr,4,44,1
778,Dalrd3,4,44,1
779,Hdac1,4,44,1
780,Malat1,4,45,2
781,Malat1,4,46,1
782,Zbtb20,4,46,1
783,Tec,4,46,1
784,Nipbl,4,46,1
785,Osbpl11,4,47,1
786,Kif12,4,50,1
787,Ddo,4,50,1
788,Usp46,4,50,1
789,4933408B17Rik,4,50,1
790,Epb41,4,51,1
791,Zranb2,4,51,1
792,Usp7,4,52,1
793,Nceh1,4,52,1
794,Txlng,4,52,1
795,Immt,4,53,1
796,Itpr1,4,53,1
797,Bnip3l,4,53,1
798,Rnf138,4,53,1
799,Selenbp2,4,53,1
800,Malat1,4,54,1
801,Ghr,4,54,1
802,Polr1b,4,54,1
803,L3hypdh,4,55,1
804,Polr3f,4,56,1
805,Rere,4,57,1
806,Ppp3cb,4,57,1
807,Mat2a,4,58,1
808,Prrc2c,4,60,1
809,Rbm5,4,60,1
810,Eif2s1,4,60,1
811,Kmt2a,4,61,1
812,Trib1,4,61,1
813,Habp4,4,61,1
814,Sec11a,4,61,1
815,Malat1,4,62,1
816,Rhot2,4,62,1
817,Osbpl8,4,64,1
818,Herc1,4,64,1
819,Prdx6,4,64,1
820,Hnrnpd,4,65,1
821,Ndst1,4,66,1
822,Pcm1,4,67,1
823,Hnrnph1,4,70,1
824,Top1,4,72,1
825,Fam102a,4,73,1
826,Cdk12,4,74,1
827,Bcl2l12,4,74,1
828,Mme,4,75,1
829,Snx29,4,77,1
830,Slc7a12,4,77,1
831,Hnrnpa2b1,4,79,1
832,Akap9,4,80,1
833,Fam76b,4,81,1
834,Ugt1a8,4,82,1
835,Npnt,4,82,1
836,Malat1,4,83,1
837,Cgnl1,4,83,1
838,Slc6a18,4,83,1
839,Osbp,4,83,1
840,Slc25a42,4,83,1
841,Eif3a,4,84,1
842,Ahnak,4,84,1
843,Chd2,4,84,1
844,Dmxl2,4,84,1
845,Suclg2,4,84,1
846,Malat1,4,85,2
847,Slc12a1,4,85,1
848,Stx17,4,85,1
849,Angptl7,4,85,1
850,Lrrc75b,4,86,1
851,Eif5,4,87,1
852,Taf2,4,87,1
853,Mdc1,4,87,1
854,Malat1,4,88,1
855,Neu1,4,88,1
856,Tmed2,4,88,1
857,Sec31a,4,89,1
858,Dst,4,91,1
859,Aqr,4,93,1
860,Snrnp48,4,94,1
861,Pank1,4,94,1
862,Gm12258,4,94,1
863,Rps6ka1,4,94,1
864,Prpf38b,4,95,1
865,BC034090,4,95,1
866,Utp18,4,96,1
867,Malat1,5,1,1
868,Xpr1,5,1,1
869,Mob3c,5,1,1
870,Malat1,5,3,1
871,Wdr74,5,4,1
872,1110038F14Rik,5,4,1
873,Igfbp7,5,5,1
874,Mnat1,5,5,1
875,Malat1,5,7,1
876,Fubp1,5,7,1
877,Eif5b,5,7,1
878,Ubr4,5,7,1
879,Usp46,5,7,1
880,Malat1,5,11,1
881,Lrp2,5,11,1
882,Bdp1,5,11,1
883,Apol10b,5,13,1
884,Brd3,5,14,1
885,Ube2i,5,14,1
886,Dda1,5,14,1
887,Ehf,5,15,1
888,Tbx3,5,16,1
889,Malat1,5,17,1
890,Trim61,5,19,1
891,Epcam,5,19,1
892,Wdr1,5,21,1
893,Malat1,5,22,1
894,Srsf11,5,22,1
895,Wnk4,5,24,1
896,Med13l,5,25,1
897,Slc25a51,5,25,1
898,Safb,5,27,1
899,Gm28230,5,27,1
900,Dpp8,5,27,1
901,Pla2r1,5,27,1
902,Trim11,5,27,1
903,Itpr2,5,30,1
904,Rock1,5,30,1
905,Syne2,5,30,1
906,AW549877,5,30,1
907,Hook3,5,30,1
908,Gm42418,5,30,1
909,Zc3h7a,5,30,1
910,Susd1,5,30,1
911,Spc24,5,31,1
912,Stx18,5,31,1
913,Kmt2e,5,32,1
914,Sf3a1,5,32,1
915,Hnrnpa3,5,35,1
916,Zcchc10,5,35,1
917,Malat1,5,37,1
918,Kmt2a,5,37,1
919,Ube2r2,5,37,1
920,Bri3,5,37,1
921,Zfp236,5,38,1
922,Eif3a,5,40,1
923,Slc25a3,5,40,1
924,Scpep1,5,40,1
925,E130102H24Rik,5,40,1
926,Clk2,5,42,1
927,Purb,5,43,1
928,Rlf,5,44,1
929,Tns1,5,45,1
930,Rbm39,5,45,1
931,Parp4,5,45,1
932,Sh3d19,5,45,1
933,Malat1,5,48,1
934,Prex2,5,48,1
935,Ugt3a2,5,48,1
936,Kcnt1,5,48,1
937,Sfpq,5,49,1
938,Tpt1,5,49,1
939,Neat1,5,50,1
940,Smim9,5,50,1
941,Malat1,5,51,1
942,Huwe1,5,51,1
943,Lgals3bp,5,51,1
944,Meis2,5,52,1
945,Scrib,5,52,1
946,Aif1l,5,52,1
947,Kansl1l,5,52,1
948,Park7,5,52,1
949,Ptpn6,5,52,1
950,Malat1,5,53,1
951,Nme7,5,53,1
952,Stra6l,5,53,1
953,Ggnbp2,5,54,1
954,Dvl1,5,55,1
955,Cnppd1,5,55,1
956,Csad,5,55,1
957,Rpl11,5,55,1
958,Kap,5,55,1
959,Arhgef28,5,57,1
960,Lmo7,5,57,1
961,Frmd4b,5,57,1
962,Zfp322a,5,57,1
963,Nos1ap,5,57,1
964,Pabpn1,5,59,1
965,Gramd1b,5,59,1
966,Malat1,5,60,1
967,Gm38394,5,60,1
968,Iars,5,61,1
969,Slc6a18,5,62,1
970,Kank1,5,62,1
971,Terf1,5,62,1
972,Gm26917,5,63,1
973,Spata33,5,63,1
974,Fis1,5,63,1
975,Vwce,5,63,1
976,Malat1,5,64,1
977,Eef1a1,5,64,1
978,Car3,5,65,1
979,Slc5a2,5,65,1
980,Mrs2,5,65,1
981,Adra1a,5,65,1
982,Rnf219,5,66,1
983,Marf1,5,67,1
984,Sat1,5,67,1
985,Clcnka,5,67,1
986,Nsun6,5,69,1
987,Malat1,5,71,1
988,Apc,5,74,1
989,Smap2,5,74,1
990,Utrn,5,76,1
991,Ppp4r3b,5,76,1
992,Rrp1b,5,76,1
993,Zmym5,5,81,1
994,Synj1,5,81,1
995,Gstt2,5,85,1
996,Itpr2,5,85,1
997,Atp9b,5,85,1
998,Zrsr1,5,85,1
999,Cryab,5,86,1
1000,Arel1,5,86,1
1001,Slc22a19,5,86,1
